date,close,div,split
1999-01-01,11.697779,,
1999-02-01,11.375423,,
1999-03-01,10.588130,,
1999-04-01,11.687362,,
1999-05-01,11.824642,,
1999-06-01,12.236474,,
1999-07-01,12.349212,,
1999-08-01,11.759053,,
1999-09-01,11.966236,,
1999-10-01,12.121386,,
1999-11-01,11.722819,,
1999-12-01,11.393846,,
2000-01-01,11.262782,,
2000-02-01,9.893926,,
2000-03-01,10.893510,,
2000-04-01,11.693104,,
2000-05-01,11.667446,,
2000-06-01,11.186380,,
2000-07-01,11.445634,,
2000-08-01,11.891567,,
2000-09-01,13.352161,,
2000-10-01,14.244926,,
2000-11-01,14.238407,,
2000-12-01,13.840906,,
2001-01-01,13.253838,,
2001-02-01,13.528901,,
2001-03-01,13.241141,,
2001-04-01,13.978474,,
2001-05-01,14.076488,,
2001-06-01,13.275294,,
2001-07-01,13.250021,,
2001-08-01,12.777879,,
2001-09-01,12.558980,,
2001-10-01,11.989659,,
2001-11-01,11.838273,,
2001-12-01,12.123737,,
2002-01-01,11.777415,,
2002-02-01,11.755627,,
2002-03-01,12.283032,,
2002-04-01,11.631074,,
2002-05-01,11.534400,,
2002-06-01,10.655585,,
2002-07-01,9.174767,,
2002-08-01,9.538558,,
2002-09-01,8.283019,,
2002-10-01,8.190862,,
2002-11-01,8.428864,,
2002-12-01,8.599504,,
2003-01-01,8.497477,,
2003-02-01,8.043067,,
2003-03-01,8.361156,,
2003-04-01,9.180748,,
2003-05-01,10.108468,,
2003-06-01,10.158986,,
2003-07-01,9.560130,,
2003-08-01,9.750036,,
2003-09-01,10.143742,,
2003-10-01,10.304933,,
2003-11-01,10.328300,,
2003-12-01,10.903130,,
2004-01-01,11.231433,,
2004-02-01,11.443697,,
2004-03-01,11.472008,,
2004-04-01,11.071121,,
2004-05-01,11.204275,,
2004-06-01,11.299389,,
2004-07-01,11.571019,,
2004-08-01,12.041152,,
2004-09-01,12.017166,,
2004-10-01,12.707740,,
2004-11-01,13.273713,,
2004-12-01,13.472045,,
2005-01-01,13.888769,,
2005-02-01,14.186658,,
2005-03-01,14.235502,,
2005-04-01,14.786404,,
2005-05-01,14.776562,,
2005-06-01,15.529417,,
2005-07-01,16.008488,,
2005-08-01,16.112667,,
2005-09-01,16.668280,,
2005-10-01,15.719337,,
2005-11-01,15.694357,,
2005-12-01,15.689355,,
2006-01-01,16.212446,,
2006-02-01,16.424238,,
2006-03-01,15.546803,,
2006-04-01,15.912483,,
2006-05-01,16.171606,,
2006-06-01,16.405308,,
2006-07-01,17.336746,,
2006-08-01,17.813196,,
2006-09-01,17.413586,,
2006-10-01,18.483713,,
2006-11-01,18.974342,,
2006-12-01,18.964008,,
2007-01-01,19.068600,,
2007-02-01,20.079615,,
2007-03-01,20.689350,,
2007-04-01,21.822758,,
2007-05-01,21.922304,,
2007-06-01,20.738157,,
2007-07-01,20.048027,,
2007-08-01,20.364576,,
2007-09-01,20.997665,,
2007-10-01,22.553741,,
2007-11-01,22.702518,,
2007-12-01,22.489996,,
2008-01-01,20.996437,,
2008-02-01,20.134514,,
2008-03-01,20.311180,,
2008-04-01,21.503801,,
2008-05-01,22.274883,,
2008-06-01,21.945963,,
2008-07-01,20.685423,,
2008-08-01,20.457283,,
2008-09-01,18.050861,,
2008-10-01,15.843136,,
2008-11-01,16.506229,,
2008-12-01,15.908895,,
2009-01-01,16.082170,,
2009-02-01,14.067731,,
2009-03-01,14.178728,,
2009-04-01,14.503675,,
2009-05-01,15.019863,,
2009-06-01,15.648266,,
2009-07-01,16.422514,,
2009-08-01,16.587084,,
2009-09-01,16.643827,,
2009-10-01,16.276720,,
2009-11-01,17.062181,,
2009-12-01,17.784569,,
2010-01-01,17.131308,,
2010-02-01,16.905060,,
2010-03-01,17.206730,,
2010-04-01,17.816439,,
2010-05-01,16.833139,,
2010-06-01,16.540489,,
2010-07-01,17.962957,,
2010-08-01,18.223209,,
2010-09-01,18.560352,,
2010-10-01,18.953905,,
2010-11-01,18.380259,,
2010-12-01,18.726830,,
2011-01-01,19.180828,,
2011-02-01,19.416641,,
2011-03-01,19.271521,,
2011-04-01,20.249292,,
2011-05-01,20.682863,,
2011-06-01,20.444708,,
2011-07-01,20.461876,,
2011-08-01,20.906029,,
2011-09-01,20.739470,,
2011-10-01,21.717720,,
2011-11-01,21.942060,,
2011-12-01,22.421900,,
2012-01-01,21.853834,,
2012-02-01,21.986162,,
2012-03-01,22.080688,,
2012-04-01,22.679272,,
2012-05-01,22.806467,,
2012-06-01,23.525129,,
2012-07-01,24.341038,,
2012-08-01,23.333256,,
2012-09-01,23.358925,,
2012-10-01,23.936918,,
2012-11-01,22.911978,,
2012-12-01,22.652504,,
2013-01-01,23.997160,,
2013-02-01,24.554770,,
2013-03-01,25.650330,,
2013-04-01,27.414900,,
2013-05-01,24.933462,,
2013-06-01,24.900372,,
2013-07-01,26.246183,,
2013-08-01,24.935886,,
2013-09-01,24.982677,,
2013-10-01,26.173641,,
2013-11-01,25.667440,,
2013-12-01,25.626949,,
2014-01-01,26.672112,,
2014-02-01,27.593014,,
2014-03-01,28.281982,,
2014-04-01,29.721355,,
2014-05-01,29.398069,,
2014-06-01,30.443588,,
2014-07-01,28.615831,,
2014-08-01,30.024069,,
2014-09-01,29.198545,,
2014-10-01,31.827618,,
2014-11-01,32.198608,,
2014-12-01,33.052574,,
2015-01-01,34.123997,,
2015-02-01,31.941837,,
2015-03-01,31.376850,,
2015-04-01,31.474442,,
2015-05-01,31.673729,,
2015-06-01,29.509947,,
2015-07-01,31.595520,,
2015-08-01,30.496605,,
2015-09-01,31.092758,,
2015-10-01,31.719847,,
2015-11-01,31.045574,,
2015-12-01,31.379086,,
2016-01-01,33.271069,,
2016-02-01,33.915695,,
2016-03-01,36.347656,,
2016-04-01,35.735332,,
2016-05-01,36.274094,,
2016-06-01,38.724342,,
2016-07-01,38.780682,,
2016-08-01,36.630333,,
2016-09-01,36.451763,,
2016-10-01,37.092766,,
2016-11-01,35.081665,,
2016-12-01,36.447418,,
2017-01-01,37.262451,,
2017-02-01,39.224819,,
2017-03-01,38.876293,,
2017-04-01,39.469467,,
2017-05-01,41.103226,,
2017-06-01,39.667961,,
2017-07-01,40.959530,,
2017-08-01,42.306377,,
2017-09-01,40.828701,,
2017-10-01,42.745373,,
2017-11-01,43.893108,,
2017-12-01,40.853161,,
2018-01-01,39.950310,,
2018-02-01,38.400513,,
2018-03-01,39.551109,,
2018-04-01,40.670868,,
2018-05-01,40.221249,,
2018-06-01,40.986393,,
2018-07-01,42.013577,,
2018-08-01,42.554764,,
2018-09-01,41.902164,,
2018-10-01,43.113998,,
2018-11-01,44.639736,,
2018-12-01,42.495674,,
2019-01-01,44.346706,,
2019-02-01,46.168846,,
2019-03-01,47.108265,,
2019-04-01,47.898190,,
2019-05-01,47.522907,,
2019-06-01,48.648777,,
2019-07-01,48.971336,,
2019-08-01,51.463081,,
2019-09-01,53.239361,,
2019-10-01,53.245033,,
2019-11-01,52.250572,,
2019-12-01,53.551674,,
2020-01-01,57.611332,,
2020-02-01,51.932041,,
2020-03-01,46.277805,,
2020-04-01,48.301678,,
2020-05-01,50.351505,,
2020-06-01,47.601540,,
2020-07-01,51.741558,,
2020-08-01,50.397621,,
2020-09-01,50.508194,,
2020-10-01,53.516312,,
2020-11-01,53.910950,,
2020-12-01,53.790844,,
2021-01-01,53.769596,,
2021-02-01,50.490635,,
2021-03-01,55.404743,,
2021-04-01,58.154385,,
2021-05-01,56.794655,,
2021-06-01,55.112434,,
2021-07-01,57.947250,,
2021-08-01,60.204708,,
2021-09-01,56.111423,,
2021-10-01,59.217968,,
2021-11-01,58.209015,,
2021-12-01,63.351089,,
2022-01-01,61.770695,,
2022-02-01,60.593269,,
2022-03-01,66.417992,,
2022-04-01,63.988323,,
2022-05-01,66.745056,,
2022-06-01,62.973644,,
2022-07-01,66.935226,,
2022-08-01,67.288231,,
2022-09-01,59.295830,,
2022-10-01,60.854755,,
2022-11-01,65.092186,,
2022-12-01,64.244682,,
2023-01-01,63.474949,,
2023-02-01,59.717358,,
2023-03-01,62.188728,,
2023-04-01,63.841000,,
2023-05-01,60.092712,,
2023-06-01,60.564735,,
2023-07-01,62.572563,,
2023-08-01,58.738163,,
2023-09-01,54.978401,,
2023-10-01,56.138691,,
2023-11-01,59.026039,,
2023-12-01,59.562130,,
2024-01-01,58.338425,,
2024-02-01,58.955505,,
2024-03-01,62.325748,,
2024-04-01,63.884029,,
2024-05-01,69.608131,,
2024-06-01,65.224129,,
2024-07-01,70.236916,,
2024-08-01,73.614159,,
2024-09-01,77.946678,,
2024-10-01,77.629692,,
2024-11-01,80.563515,,
2024-12-01,73.530121,,
2025-01-01,76.284416,,
2025-02-01,77.596970,,
2025-03-01,77.234550,,
2025-04-01,77.832054,,
2025-05-01,80.811180,,
2025-06-01,80.554703,,
2025-07-01,85.097183,,
