date,open,high,low,close,adj_close,volume,div,split
2008-04-01,50.910000,68.169998,47.740002,54.439999,35.223137,101600,,
2008-05-01,53.730000,56.630001,53.529999,54.869999,35.501343,327500,,
2008-06-01,54.650002,56.000000,50.029999,50.240002,32.505688,292700,,
2008-07-01,49.709999,49.820000,47.119999,48.330002,31.269909,511200,,
2008-08-01,48.169998,59.169998,44.590000,45.950001,29.730030,885100,,
2008-09-01,45.160000,45.560001,35.000000,39.910000,25.822107,1596300,,
2008-10-01,39.619999,39.970001,25.540001,30.730000,19.882565,2045800,,
2008-11-01,30.629999,33.259998,23.809999,28.580000,18.491495,5278800,,
2008-12-01,27.860001,31.379999,25.809999,30.719999,19.876095,8327700,,
2009-01-01,30.549999,31.809999,25.440001,26.600000,17.212755,4823200,,
2009-02-01,26.219999,28.469999,23.740000,24.040001,15.556189,4041800,,
2009-03-01,23.459999,28.020000,22.000000,26.549999,17.180401,2620900,,
2009-04-01,26.510000,30.650000,26.379999,30.190001,19.535833,2339500,,
2009-05-01,30.430000,34.490002,30.309999,34.490002,22.318342,1907800,,
2009-06-01,35.389999,35.820000,31.959999,33.209999,21.490061,4543900,,
2009-07-01,33.680000,37.000000,31.410000,36.799999,24.223566,1540000,,
2009-08-01,37.450001,38.630001,35.889999,37.830002,24.901556,1242500,,
2009-09-01,37.470001,40.750000,36.799999,39.869999,26.244389,1079400,,
2009-10-01,39.669998,41.900002,37.970001,38.709999,25.480825,5145200,,
2009-11-01,38.939999,42.220001,38.279999,40.590000,26.718330,4670300,,
2009-12-01,41.459999,42.279999,39.939999,40.910000,26.928967,2567900,,
2010-01-01,41.689999,42.880001,38.369999,38.520000,25.529997,2924300,,
2010-02-01,38.910000,40.000000,36.580002,39.020000,25.861374,1990600,,
2010-03-01,39.160000,42.000000,39.099998,41.689999,27.630978,2899200,,
2010-04-01,42.209999,43.320000,40.330002,40.740002,27.001348,3678300,,
2010-05-01,40.939999,41.209999,30.650000,36.540001,24.217709,5235200,,
2010-06-01,36.340000,38.860001,35.020000,35.150002,23.296448,3464500,,
2010-07-01,35.400002,39.410000,34.950001,39.060001,26.247910,1402800,,
2010-08-01,39.810001,40.259998,36.770000,37.540001,25.226488,1797400,,
2010-09-01,38.459999,41.869999,38.410000,41.369999,27.800198,4151300,,
2010-10-01,41.750000,43.560001,41.160000,42.810001,28.767868,2518500,,
2010-11-01,43.000000,44.750000,40.910000,41.279999,27.739723,1691600,,
2010-12-01,42.099998,44.270000,42.070000,44.040001,29.594418,2533700,,
