date,open,high,low,close,adj_close,volume,div,split
2003-05-01,25.250000,28.012501,25.167500,28.012501,19.837738,2005600,,
2003-06-01,28.275000,29.545000,28.032499,28.254999,20.009470,1476000,,
2003-07-01,28.162500,29.452499,27.817499,28.920000,20.480404,884000,,
2003-08-01,28.692499,30.235001,28.045000,30.167500,21.363850,1042800,,
2003-09-01,30.362499,30.990000,29.340000,29.572500,20.942484,2155200,,
2003-10-01,29.650000,31.700001,29.650000,31.620001,22.504589,2135600,,
2003-11-01,31.782499,32.330002,31.107500,32.287498,22.979658,1916400,,
2003-12-01,32.375000,33.904999,31.892500,33.862499,24.100624,1547200,,
2004-01-01,34.000000,35.404999,33.612499,34.665001,24.742855,1695600,,
2004-02-01,34.724998,35.724998,34.255001,35.325001,25.213949,2303200,,
2004-03-01,35.500000,36.040001,33.587502,35.000000,24.981972,2653600,,
2004-04-01,35.099998,35.820000,34.077499,34.174999,24.451859,2054000,,
2004-05-01,34.150002,34.827499,32.907501,34.772499,24.879366,3645600,,
2004-06-01,34.650002,35.772499,34.500000,35.737499,25.569818,3660000,,
2004-07-01,35.724998,35.757500,33.294998,34.102501,24.462254,3164800,,
2004-08-01,33.974998,34.252499,32.590000,34.067501,24.437155,3194000,,
2004-09-01,34.174999,35.174999,33.997501,34.855000,25.002037,3517200,,
2004-10-01,35.032501,35.779999,34.115002,35.682499,25.659685,3405600,,
2004-11-01,35.700001,38.187500,35.617500,37.750000,27.146446,7874400,,
2004-12-01,37.917500,39.227501,37.494999,39.040001,28.074095,5738800,,
2005-01-01,39.200001,39.200001,37.097500,37.837502,27.285917,5074000,,
2005-02-01,37.900002,38.952499,37.834999,38.642502,27.866438,3685200,,
2005-03-01,38.762501,39.584999,37.360001,38.027500,27.422930,6616800,,
2005-04-01,38.200001,38.424999,36.272499,36.812500,26.608122,6786000,,
2005-05-01,36.985001,38.697498,36.612499,38.467499,27.804375,6315600,,
2005-06-01,38.502499,39.705002,38.500000,38.965000,28.163960,7683600,,
2005-07-01,39.099998,41.259998,38.792500,40.955002,29.673491,4635200,,
2005-08-01,41.049999,41.259998,39.750000,40.597500,29.414455,7580800,,
2005-09-01,40.525002,41.279999,39.549999,40.692501,29.483301,6633200,,
2005-10-01,40.700001,40.872501,38.189999,39.602501,28.769283,13579600,,
2005-11-01,39.712502,41.935001,39.505001,41.404999,30.078711,8776400,,
2005-12-01,41.680000,42.522499,41.467499,41.482498,30.135002,6118400,,
2006-01-01,41.770000,43.535000,41.362499,43.152500,31.456198,9738400,,
2006-02-01,43.244999,43.907501,42.415001,43.297501,31.561905,8362400,,
2006-03-01,43.462502,44.537498,42.695000,44.099998,32.146889,9467200,,
2006-04-01,44.174999,44.865002,43.442501,44.480000,32.501492,4980900,,
2006-05-01,44.599998,45.209999,42.029999,43.160000,31.536961,9739000,,
2006-06-01,43.209999,43.919998,41.009998,42.910000,31.354294,8032600,,
2006-07-01,43.200001,43.200001,40.759998,42.340000,31.030476,12653300,,
2006-08-01,42.049999,43.540001,41.720001,43.500000,31.880613,7160000,,
2006-09-01,43.549999,44.650002,42.959999,44.419998,32.554886,5455900,,
2006-10-01,44.500000,46.349998,44.080002,46.090000,33.871777,5498400,,
2006-11-01,46.209999,47.410000,45.389999,47.240002,34.716911,6711500,,
2006-12-01,47.340000,48.110001,46.700001,47.340000,34.790417,4744900,,
2007-01-01,47.580002,48.650002,46.889999,48.480000,35.754066,6604700,,
2007-02-01,48.799999,50.099998,47.650002,48.250000,35.584435,7430300,,
2007-03-01,47.200001,49.250000,46.700001,48.549999,35.805687,7782800,,
2007-04-01,48.580002,51.400002,48.490002,50.689999,37.459148,6587000,,
2007-05-01,50.750000,52.419998,50.330002,52.330002,38.671101,13877800,,
2007-06-01,52.590000,52.740002,50.150002,51.200001,37.836044,7051800,,
2007-07-01,51.450001,52.740002,48.709999,48.889999,36.241264,24218800,,
2007-08-01,49.000000,53.540001,45.230000,48.930000,36.270912,27969700,,
2007-09-01,48.939999,50.849998,47.570000,49.990002,37.056671,13604100,,
2007-10-01,50.099998,51.820000,48.639999,50.549999,37.590485,17405500,,
2007-11-01,50.060001,50.290001,45.700001,48.200001,35.842972,21838500,,
2007-12-01,48.150002,49.740002,46.590000,47.180000,35.084465,11231700,,
2008-01-01,47.099998,47.330002,39.299999,45.150002,33.714535,16932200,,
2008-02-01,45.230000,46.209999,43.490002,43.790001,32.698971,9366800,,
2008-03-01,43.549999,44.439999,40.869999,42.810001,31.967194,6890000,,
2008-04-01,43.560001,46.029999,43.110001,45.259998,33.929104,6069000,,
2008-05-01,45.189999,47.660000,45.150002,46.459999,34.828667,5308400,,
2008-06-01,46.270000,46.619999,41.580002,41.740002,31.290329,7786900,,
2008-07-01,41.209999,42.740002,38.389999,41.529999,31.242720,13834200,,
2008-08-01,41.880001,43.709999,40.820000,42.759998,32.168053,15601700,,
2008-09-01,43.200001,43.700001,36.340000,37.930000,28.534475,12220400,,
2008-10-01,37.939999,38.000000,25.000000,30.000000,22.670763,14758300,,
2008-11-01,29.840000,31.190001,21.870001,27.110001,20.486816,10110700,,
2008-12-01,26.540001,28.230000,24.549999,27.799999,21.008253,16774900,,
2009-01-01,27.330000,29.830000,24.799999,25.480000,19.356276,20829900,,
2009-02-01,25.100000,27.350000,22.480000,22.620001,17.183632,13018900,,
2009-03-01,22.100000,26.250000,20.190001,24.770000,18.816921,20628100,,
2009-04-01,24.650000,30.030001,24.320000,29.400000,22.484190,41179900,,
2009-05-01,29.410000,32.049999,29.180000,31.299999,23.937248,39380500,,
2009-06-01,31.740000,32.779999,29.530001,30.809999,23.562508,36355700,,
2009-07-01,31.049999,33.950001,28.740000,33.639999,25.823318,33551600,,
2009-08-01,34.000000,36.340000,33.750000,35.540001,27.281822,16777800,,
2009-09-01,35.410000,38.380001,34.240002,37.299999,28.632875,19517100,,
